index,lat_deg,lon_deg,cumulative_surface_distance_km,cumulative_flight_distance_km,density_kg_m3,temperature_k,pressure_pa
662,45.847016,154.520593,8823.530,8853.080,0.07147551,217.546,4463.393
663,45.751483,154.427202,8836.386,8865.978,0.07149661,217.502,4463.811
664,45.656128,154.333738,8849.235,8878.870,0.07151779,217.458,4464.231
665,45.560953,154.240199,8862.078,8891.756,0.07153898,217.414,4464.651
666,45.465956,154.146584,8874.915,8904.636,0.07155989,217.370,4465.051
667,45.371140,154.052891,8887.746,8917.510,0.07158110,217.326,4465.470
668,45.276504,153.959120,8900.571,8930.378,0.07160203,217.282,4465.871
669,45.182048,153.865268,8913.390,8943.240,0.07162303,217.238,4466.274
670,45.087774,153.771335,8926.203,8956.096,0.07164405,217.194,4466.678
671,44.993682,153.677318,8939.011,8968.947,0.07166494,217.149,4467.072
672,44.899773,153.583216,8951.812,8981.791,0.07168578,217.105,4467.461
673,44.806046,153.489028,8964.609,8994.630,0.07170667,217.061,4467.854
674,44.712503,153.394753,8977.399,9007.464,0.07172745,217.017,4468.240
675,44.619143,153.300388,8990.184,9020.292,0.07174823,216.973,4468.624
676,44.525968,153.205933,9002.964,9033.114,0.07176888,216.928,4468.999
677,44.432978,153.111386,9015.738,9045.931,0.07178947,216.884,4469.370
678,44.340173,153.016746,9028.507,9058.743,0.07181020,216.840,4469.750
679,44.247553,152.922010,9041.271,9071.550,0.07183060,216.796,4470.108
680,44.155120,152.827179,9054.030,9084.351,0.07185136,216.752,4470.488
681,44.062874,152.732249,9066.784,9097.148,0.07187183,216.707,4470.849
682,43.970815,152.637221,9079.532,9109.939,0.07189231,216.663,4471.212
683,43.878943,152.542091,9092.276,9122.726,0.07191268,216.619,4471.567
684,43.787260,152.446860,9105.015,9135.507,0.07193305,216.575,4471.921
685,43.695765,152.351525,9117.749,9148.284,0.07195334,216.531,4472.271
686,43.604459,152.256084,9130.479,9161.056,0.07197373,216.487,4472.626
